Iteration,LCD,CPU,WIFI
0,0,61,0
1,0,347,0
2,0,634,0
3,0,874,0
4,0,169,0
5,0,258,0
6,0,546,0
7,0,359,0
8,0,98,0
9,0,150,0
10,0,147,0
11,0,437,0
12,0,152,0
13,0,78,0
14,0,70,0
15,0,106,0
16,0,80,0
17,0,87,0
18,0,79,0
19,0,79,0
20,0,836,0
21,0,994,0
22,0,994,0
23,0,994,0
24,0,994,0
25,0,994,0
26,0,994,0
27,0,994,0
28,0,387,0
29,0,79,0
30,0,87,0
31,0,89,0
32,0,80,0
33,0,78,0
34,0,78,0
35,0,88,0
36,0,642,0
37,0,994,0
38,0,994,0
39,0,994,0
40,0,874,0
41,0,80,0
42,0,108,0
43,0,78,0
44,0,79,0
45,0,88,0
46,0,70,0
47,0,88,0
48,0,175,0
49,0,994,0
50,0,994,0
51,0,994,0
52,0,994,0
53,0,994,0
54,0,994,0
55,0,994,0
56,0,994,0
57,0,159,0
58,0,79,0
59,0,190,0
60,0,87,0
61,0,89,0
62,0,79,0
63,0,70,0
64,0,70,0
65,0,860,0
66,0,994,0
67,0,994,0
68,0,994,0
69,0,235,0
70,0,87,0
71,0,71,0
72,0,107,0
73,0,78,0
74,0,70,0
75,0,96,0
76,0,71,0
77,0,777,0
78,0,994,0
79,0,994,0
80,0,994,0
81,0,994,0
82,0,994,0
83,0,994,0
84,0,994,0
85,0,467,0
86,0,80,0
87,0,69,0
88,0,79,0
89,0,78,0
90,0,87,0
91,0,89,0
92,0,71,0
93,0,574,0
94,0,994,0
95,0,994,0
96,0,994,0
97,0,471,0
98,0,70,0
99,0,87,0
100,0,88,0
101,0,80,0
102,0,79,0
103,0,79,0
104,0,78,0
105,0,506,0
106,0,994,0
107,0,994,0
108,0,994,0
109,0,994,0
110,0,994,0
111,0,994,0
112,0,994,0
113,0,692,0
114,0,88,0
115,0,88,0
116,0,71,0
117,0,87,0
118,0,70,0
119,0,87,0
120,0,87,0
121,0,334,0
122,0,994,0
123,0,994,0
124,0,994,0
125,0,649,0
126,0,80,0
127,0,131,0
128,0,78,0
129,0,87,0
130,0,88,0
131,0,71,0
132,0,98,0
133,0,360,0
134,0,994,0
135,0,994,0
136,0,994,0
137,0,994,0
138,0,994,0
139,0,994,0
140,0,994,0
141,0,882,0
142,0,78,0
143,0,79,0
144,0,78,0
145,0,89,0
146,0,79,0
147,0,79,0
148,0,69,0
149,0,155,0
150,0,994,0
151,0,994,0
