Iteration,LCD,CPU,WIFI
0,0,70,0
1,0,290,0
2,0,121,0
3,0,113,0
4,0,89,0
5,0,477,0
6,0,881,0
7,0,194,0
8,0,407,0
9,0,508,0
10,0,256,0
11,0,137,0
12,0,112,0
13,0,79,0
14,0,288,0
15,0,96,0
16,0,124,0
17,0,69,0
18,0,70,0
19,0,87,0
20,0,87,0
21,0,80,0
22,0,108,0
23,0,944,0
24,0,994,0
25,0,994,0
26,0,994,0
27,0,994,0
28,0,994,0
29,0,994,0
30,0,994,0
31,0,213,0
32,0,79,0
33,0,200,0
34,0,78,0
35,0,96,0
36,0,89,0
37,0,71,0
38,0,69,0
39,0,838,0
40,0,994,0
41,0,994,0
42,0,994,0
43,0,994,0
44,0,994,0
45,0,994,0
46,0,994,0
47,0,415,0
48,0,78,0
49,0,78,0
50,0,88,0
51,0,71,0
52,0,79,0
53,0,69,0
54,0,144,0
55,0,610,0
56,0,994,0
57,0,994,0
58,0,994,0
59,0,994,0
60,0,994,0
61,0,994,0
62,0,994,0
63,0,592,0
64,0,79,0
65,0,87,0
66,0,71,0
67,0,78,0
68,0,70,0
69,0,69,0
70,0,87,0
71,0,477,0
72,0,994,0
73,0,994,0
74,0,994,0
75,0,994,0
76,0,994,0
77,0,994,0
78,0,994,0
79,0,447,0
80,0,99,0
81,0,80,0
82,0,78,0
83,0,69,0
84,0,70,0
85,0,97,0
86,0,70,0
87,0,594,0
88,0,994,0
89,0,994,0
90,0,994,0
91,0,994,0
92,0,994,0
93,0,994,0
94,0,994,0
95,0,596,0
96,0,71,0
97,0,96,0
98,0,71,0
99,0,78,0
100,0,87,0
101,0,71,0
102,0,78,0
103,0,442,0
104,0,994,0
105,0,994,0
106,0,994,0
107,0,994,0
108,0,994,0
109,0,994,0
110,0,994,0
111,0,445,0
112,0,69,0
113,0,69,0
114,0,78,0
115,0,79,0
116,0,129,0
117,0,69,0
118,0,69,0
119,0,545,0
120,0,994,0
121,0,994,0
122,0,994,0
123,0,994,0
124,0,994,0
125,0,994,0
126,0,994,0
127,0,685,0
128,0,71,0
129,0,78,0
130,0,87,0
131,0,71,0
132,0,69,0
133,0,70,0
134,0,69,0
135,0,407,0
136,0,994,0
137,0,994,0
138,0,994,0
139,0,994,0
140,0,994,0
141,0,994,0
142,0,994,0
143,0,502,0
144,0,70,0
145,0,87,0
146,0,71,0
147,0,69,0
148,0,69,0
149,0,69,0
150,0,78,0
151,0,487,0
152,0,994,0
153,0,994,0
154,0,994,0
155,0,994,0
156,0,994,0
157,0,994,0
158,0,994,0
159,0,699,0
160,0,87,0
161,0,70,0
162,0,69,0
163,0,70,0
164,0,79,0
165,0,97,0
166,0,130,0
167,0,370,0
168,0,994,0
169,0,994,0
170,0,994,0
171,0,994,0
172,0,994,0
173,0,994,0
174,0,994,0
175,0,467,0
176,0,70,0
177,0,69,0
178,0,69,0
179,0,70,0
180,0,87,0
181,0,79,0
182,0,80,0
183,0,550,0
184,0,994,0
185,0,994,0
186,0,994,0
187,0,994,0
188,0,994,0
189,0,994,0
190,0,994,0
191,0,666,0
192,0,70,0
193,0,78,0
194,0,69,0
195,0,96,0
196,0,112,0
197,0,69,0
198,0,69,0
199,0,383,0
200,0,994,0
201,0,994,0
202,0,994,0
203,0,994,0
204,0,994,0
205,0,994,0
206,0,994,0
207,0,466,0
208,0,69,0
209,0,80,0
210,0,87,0
211,0,71,0
212,0,78,0
213,0,70,0
214,0,69,0
215,0,550,0
216,0,994,0
217,0,994,0
218,0,994,0
219,0,994,0
220,0,994,0
221,0,994,0
222,0,994,0
223,0,669,0
224,0,69,0
225,0,106,0
226,0,111,0
227,0,69,0
228,0,70,0
229,0,105,0
230,0,91,0
231,0,397,0
232,0,994,0
233,0,994,0
234,0,994,0
235,0,994,0
236,0,994,0
237,0,994,0
238,0,994,0
239,0,415,0
240,0,87,0
241,0,70,0
242,0,97,0
243,0,70,0
244,0,69,0
245,0,87,0
246,0,70,0
247,0,598,0
248,0,994,0
249,0,994,0
250,0,994,0
251,0,994,0
252,0,994,0
253,0,994,0
254,0,994,0
255,0,592,0
256,0,70,0
257,0,89,0
258,0,69,0
259,0,96,0
260,0,100,0
261,0,71,0
262,0,69,0
263,0,438,0
264,0,994,0
265,0,994,0
266,0,994,0
267,0,994,0
268,0,994,0
269,0,994,0
270,0,994,0
271,0,358,0
272,0,78,0
273,0,71,0
274,0,69,0
275,0,87,0
276,0,70,0
277,0,96,0
278,0,71,0
279,0,604,0
280,0,994,0
281,0,994,0
282,0,994,0
283,0,994,0
284,0,994,0
285,0,994,0
286,0,994,0
287,0,568,0
288,0,69,0
289,0,96,0
290,0,100,0
291,0,80,0
292,0,69,0
293,0,69,0
294,0,69,0
295,0,497,0
296,0,994,0
297,0,994,0
298,0,994,0
299,0,994,0
300,0,994,0
301,0,994,0
302,0,994,0
303,0,321,0
304,0,70,0
305,0,87,0
306,0,90,0
307,0,87,0
308,0,80,0
309,0,78,0
310,0,87,0
311,0,705,0
312,0,994,0
313,0,994,0
314,0,994,0
315,0,994,0
316,0,994,0
317,0,994,0
318,0,994,0
319,0,497,0
320,0,91,0
321,0,80,0
322,0,69,0
323,0,69,0
324,0,69,0
325,0,78,0
326,0,80,0
327,0,536,0
328,0,994,0
329,0,994,0
330,0,994,0
331,0,994,0
332,0,994,0
333,0,994,0
334,0,994,0
335,0,255,0
336,0,80,0
337,0,87,0
338,0,71,0
339,0,78,0
340,0,78,0
341,0,79,0
342,0,69,0
343,0,728,0
344,0,994,0
345,0,994,0
346,0,994,0
347,0,994,0
348,0,994,0
349,0,994,0
350,0,994,0
351,0,426,0
352,0,101,0
353,0,69,0
354,0,69,0
355,0,88,0
356,0,70,0
357,0,89,0
358,0,69,0
359,0,588,0
360,0,994,0
361,0,994,0
362,0,994,0
363,0,994,0
364,0,994,0
365,0,994,0
366,0,994,0
367,0,170,0
368,0,69,0
369,0,69,0
370,0,87,0
371,0,71,0
372,0,69,0
373,0,69,0
374,0,69,0
375,0,818,0
376,0,994,0
377,0,994,0
378,0,994,0
379,0,994,0
380,0,994,0
381,0,994,0
382,0,994,0
383,0,361,0
384,0,69,0
385,0,78,0
386,0,79,0
387,0,69,0
388,0,69,0
389,0,69,0
390,0,87,0
391,0,666,0
392,0,994,0
393,0,994,0
394,0,994,0
395,0,994,0
396,0,994,0
397,0,994,0
398,0,994,0
399,0,91,0
400,0,87,0
401,0,70,0
402,0,69,0
403,0,69,0
404,0,70,0
405,0,126,0
406,0,133,0
407,0,898,0
408,0,994,0
409,0,994,0
410,0,994,0
411,0,994,0
412,0,994,0
413,0,994,0
414,0,994,0
415,0,305,0
416,0,71,0
417,0,69,0
418,0,69,0
419,0,78,0
420,0,88,0
421,0,80,0
422,0,79,0
423,0,757,0
424,0,994,0
425,0,994,0
426,0,994,0
427,0,994,0
428,0,994,0
429,0,994,0
430,0,924,0
431,0,70,0
432,0,70,0
433,0,69,0
434,0,69,0
435,0,87,0
436,0,71,0
437,0,69,0
438,0,109,0
439,0,955,0
440,0,994,0
441,0,994,0
442,0,994,0
443,0,994,0
444,0,994,0
445,0,994,0
446,0,994,0
447,0,180,0
448,0,70,0
449,0,68,0
450,0,87,0
451,0,71,0
452,0,78,0
453,0,70,0
454,0,69,0
455,0,836,0
456,0,994,0
457,0,994,0
458,0,994,0
459,0,994,0
460,0,994,0
461,0,994,0
462,0,853,0
463,0,114,0
464,0,82,0
465,0,87,0
466,0,71,0
467,0,69,0
468,0,106,0
469,0,99,0
470,0,229,0
471,0,994,0
472,0,994,0
473,0,994,0
474,0,994,0
475,0,994,0
476,0,994,0
477,0,994,0
478,0,994,0
479,0,119,0
480,0,87,0
481,0,70,0
482,0,78,0
483,0,71,0
484,0,69,0
485,0,87,0
486,0,70,0
487,0,905,0
488,0,994,0
489,0,994,0
490,0,994,0
491,0,994,0
492,0,994,0
493,0,994,0
494,0,770,0
495,0,96,0
496,0,70,0
497,0,69,0
498,0,70,0
499,0,113,0
500,0,99,0
501,0,131,0
502,0,216,0
503,0,994,0
504,0,994,0
505,0,994,0
506,0,994,0
507,0,994,0
508,0,994,0
509,0,994,0
510,0,953,0
511,0,79,0
512,0,78,0
513,0,70,0
514,0,69,0
515,0,87,0
516,0,71,0
517,0,86,0
518,0,130,0
519,0,994,0
520,0,994,0
521,0,994,0
522,0,994,0
523,0,994,0
524,0,994,0
525,0,994,0
526,0,715,0
527,0,69,0
528,0,79,0
529,0,114,0
530,0,81,0
531,0,88,0
532,0,111,0
533,0,69,0
534,0,282,0
535,0,994,0
536,0,994,0
537,0,994,0
538,0,994,0
539,0,994,0
540,0,994,0
541,0,994,0
542,0,923,0
543,0,69,0
544,0,69,0
545,0,87,0
546,0,88,0
547,0,71,0
548,0,70,0
549,0,69,0
550,0,126,0
551,0,994,0
552,0,994,0
553,0,994,0
554,0,994,0
555,0,994,0
556,0,994,0
557,0,994,0
558,0,669,0
559,0,77,0
560,0,89,0
561,0,70,0
562,0,121,0
563,0,95,0
564,0,87,0
565,0,89,0
566,0,354,0
567,0,994,0
568,0,994,0
569,0,994,0
570,0,994,0
571,0,994,0
572,0,994,0
573,0,994,0
574,0,833,0
575,0,78,0
576,0,80,0
577,0,87,0
578,0,71,0
579,0,69,0
580,0,87,0
581,0,70,0
582,0,231,0
583,0,994,0
584,0,994,0
585,0,994,0
586,0,994,0
587,0,994,0
588,0,994,0
589,0,994,0
590,0,655,0
591,0,70,0
592,0,98,0
593,0,86,0
594,0,111,0
595,0,79,0
596,0,79,0
597,0,69,0
598,0,350,0
599,0,994,0
600,0,994,0
601,0,994,0
602,0,994,0
603,0,994,0
604,0,994,0
605,0,994,0
606,0,841,0
607,0,70,0
608,0,69,0
609,0,69,0
610,0,87,0
611,0,70,0
612,0,70,0
613,0,69,0
614,0,224,0
615,0,994,0
616,0,994,0
617,0,994,0
618,0,994,0
619,0,994,0
620,0,994,0
621,0,994,0
622,0,557,0
623,0,77,0
624,0,113,0
625,0,140,0
626,0,70,0
627,0,69,0
628,0,69,0
629,0,78,0
630,0,472,0
631,0,994,0
632,0,994,0
633,0,994,0
634,0,994,0
635,0,994,0
636,0,994,0
637,0,994,0
638,0,737,0
639,0,69,0
640,0,87,0
641,0,70,0
642,0,69,0
643,0,69,0
644,0,78,0
645,0,87,0
646,0,298,0
647,0,994,0
648,0,994,0
649,0,994,0
650,0,994,0
651,0,994,0
652,0,994,0
653,0,994,0
654,0,527,0
655,0,170,0
656,0,146,0
657,0,69,0
658,0,69,0
659,0,78,0
660,0,97,0
661,0,89,0
662,0,452,0
663,0,994,0
664,0,994,0
665,0,994,0
666,0,994,0
667,0,994,0
668,0,994,0
669,0,994,0
670,0,735,0
671,0,71,0
672,0,69,0
673,0,69,0
674,0,69,0
675,0,78,0
676,0,79,0
677,0,69,0
678,0,305,0
679,0,994,0
680,0,994,0
681,0,994,0
682,0,994,0
683,0,994,0
684,0,994,0
685,0,994,0
686,0,548,0
687,0,69,0
688,0,69,0
689,0,69,0
690,0,106,0
691,0,88,0
692,0,78,0
693,0,70,0
694,0,452,0
695,0,994,0
696,0,994,0
697,0,994,0
698,0,994,0
699,0,994,0
700,0,994,0
701,0,994,0
702,0,730,0
703,0,69,0
704,0,89,0
705,0,87,0
706,0,71,0
707,0,69,0
708,0,69,0
709,0,105,0
710,0,317,0
711,0,994,0
712,0,994,0
713,0,994,0
714,0,994,0
715,0,994,0
716,0,994,0
717,0,994,0
718,0,537,0
719,0,69,0
720,0,78,0
721,0,97,0
722,0,79,0
723,0,70,0
724,0,69,0
725,0,87,0
726,0,457,0
727,0,994,0
728,0,994,0
729,0,994,0
730,0,994,0
731,0,994,0
732,0,994,0
733,0,994,0
734,0,730,0
735,0,87,0
736,0,70,0
737,0,69,0
738,0,79,0
739,0,105,0
740,0,135,0
741,0,117,0
742,0,302,0
743,0,994,0
744,0,994,0
745,0,994,0
746,0,994,0
747,0,994,0
748,0,994,0
749,0,994,0
750,0,562,0
751,0,79,0
752,0,87,0
753,0,71,0
754,0,69,0
755,0,96,0
756,0,71,0
757,0,87,0
758,0,457,0
759,0,994,0
760,0,994,0
761,0,994,0
762,0,994,0
763,0,994,0
764,0,994,0
765,0,994,0
766,0,737,0
767,0,68,0
768,0,70,0
769,0,96,0
770,0,99,0
771,0,71,0
772,0,68,0
773,0,69,0
774,0,302,0
775,0,994,0
776,0,994,0
777,0,994,0
778,0,994,0
779,0,994,0
780,0,994,0
781,0,994,0
782,0,616,0
783,0,71,0
784,0,68,0
785,0,87,0
786,0,71,0
787,0,87,0
788,0,71,0
789,0,69,0
790,0,382,0
791,0,994,0
792,0,994,0
793,0,994,0
794,0,994,0
795,0,994,0
796,0,994,0
797,0,994,0
798,0,821,0
799,0,105,0
800,0,90,0
801,0,71,0
802,0,69,0
803,0,69,0
804,0,69,0
805,0,78,0
806,0,236,0
807,0,994,0
808,0,994,0
809,0,994,0
810,0,994,0
811,0,994,0
812,0,994,0
813,0,994,0
814,0,612,0
815,0,88,0
816,0,71,0
817,0,87,0
818,0,80,0
819,0,69,0
820,0,87,0
821,0,88,0
822,0,373,0
823,0,994,0
824,0,994,0
825,0,994,0
826,0,994,0
827,0,994,0
828,0,994,0
829,0,994,0
830,0,805,0
831,0,70,0
832,0,69,0
833,0,69,0
834,0,69,0
835,0,107,0
836,0,71,0
837,0,87,0
838,0,278,0
839,0,994,0
840,0,994,0
841,0,994,0
842,0,994,0
843,0,994,0
844,0,994,0
845,0,994,0
846,0,557,0
847,0,119,0
848,0,69,0
849,0,69,0
850,0,87,0
851,0,71,0
852,0,88,0
853,0,69,0
854,0,452,0
855,0,994,0
856,0,994,0
857,0,994,0
858,0,994,0
859,0,994,0
860,0,994,0
861,0,994,0
862,0,732,0
863,0,68,0
864,0,69,0
865,0,88,0
866,0,71,0
867,0,78,0
868,0,87,0
869,0,110,0
870,0,305,0
871,0,994,0
872,0,994,0
873,0,994,0
874,0,994,0
875,0,994,0
876,0,994,0
877,0,994,0
878,0,486,0
879,0,69,0
880,0,78,0
881,0,79,0
882,0,69,0
883,0,78,0
884,0,70,0
885,0,78,0
886,0,501,0
887,0,994,0
888,0,994,0
889,0,994,0
890,0,994,0
891,0,994,0
892,0,994,0
893,0,994,0
894,0,689,0
895,0,88,0
896,0,79,0
897,0,69,0
898,0,69,0
899,0,87,0
900,0,129,0
901,0,70,0
902,0,373,0
903,0,994,0
904,0,994,0
905,0,994,0
906,0,994,0
907,0,994,0
908,0,994,0
909,0,994,0
910,0,441,0
911,0,79,0
912,0,69,0
913,0,69,0
914,0,78,0
915,0,78,0
916,0,89,0
917,0,68,0
918,0,566,0
919,0,994,0
920,0,994,0
921,0,994,0
922,0,994,0
923,0,994,0
924,0,994,0
925,0,994,0
926,0,628,0
927,0,78,0
