Iteration,LCD,CPU,WIFI
0,0,83,0
1,0,294,0
2,0,994,0
3,0,849,0
4,0,230,0
5,0,662,0
6,0,316,0
7,0,88,0
8,0,175,0
9,0,121,0
10,0,99,0
11,0,222,0
12,0,194,0
13,0,70,0
14,0,87,0
15,0,88,0
16,0,89,0
17,0,79,0
18,0,78,0
19,0,79,0
20,0,740,0
21,0,994,0
22,0,994,0
23,0,994,0
24,0,994,0
25,0,994,0
26,0,994,0
27,0,994,0
28,0,481,0
29,0,78,0
30,0,88,0
31,0,79,0
32,0,88,0
33,0,70,0
34,0,88,0
35,0,87,0
36,0,675,0
37,0,994,0
38,0,994,0
39,0,994,0
40,0,994,0
41,0,994,0
42,0,230,0
43,0,69,0
44,0,97,0
45,0,88,0
46,0,99,0
47,0,79,0
48,0,79,0
49,0,79,0
50,0,795,0
51,0,994,0
52,0,994,0
53,0,994,0
54,0,994,0
55,0,994,0
56,0,994,0
57,0,994,0
58,0,417,0
59,0,79,0
60,0,87,0
61,0,80,0
62,0,127,0
63,0,89,0
64,0,80,0
65,0,87,0
66,0,616,0
67,0,994,0
68,0,994,0
69,0,994,0
70,0,994,0
71,0,994,0
72,0,100,0
73,0,70,0
74,0,105,0
75,0,88,0
76,0,80,0
77,0,79,0
78,0,78,0
79,0,88,0
80,0,889,0
81,0,994,0
82,0,994,0
83,0,994,0
84,0,994,0
85,0,994,0
86,0,994,0
87,0,994,0
88,0,291,0
89,0,78,0
90,0,96,0
91,0,89,0
92,0,70,0
93,0,87,0
94,0,89,0
95,0,87,0
96,0,745,0
97,0,994,0
98,0,994,0
99,0,994,0
100,0,994,0
101,0,892,0
102,0,69,0
103,0,70,0
104,0,87,0
105,0,129,0
106,0,80,0
107,0,69,0
108,0,87,0
109,0,149,0
110,0,994,0
111,0,994,0
112,0,994,0
113,0,994,0
114,0,994,0
115,0,994,0
116,0,994,0
117,0,994,0
118,0,159,0
119,0,87,0
120,0,88,0
121,0,80,0
122,0,79,0
123,0,78,0
124,0,71,0
125,0,96,0
126,0,874,0
127,0,994,0
128,0,994,0
129,0,994,0
130,0,994,0
131,0,760,0
132,0,96,0
133,0,69,0
134,0,88,0
135,0,97,0
136,0,80,0
137,0,78,0
138,0,78,0
139,0,261,0
140,0,994,0
141,0,994,0
142,0,994,0
