Iteration,LCD,CPU,WIFI
0,0,803,0
1,0,1376,0
2,0,1694,0
3,0,1305,0
4,0,1981,0
5,0,928,0
6,0,749,0
7,0,513,0
8,0,593,0
9,0,512,0
10,0,666,0
11,0,692,0
12,0,493,0
13,0,523,0
14,0,500,0
15,0,564,0
16,0,514,0
17,0,510,0
18,0,500,0
19,0,2634,0
20,0,3125,0
21,0,3125,0
22,0,3125,0
23,0,3125,0
24,0,3125,0
25,0,3125,0
26,0,3125,0
27,0,1226,0
28,0,493,0
29,0,493,0
30,0,602,0
31,0,474,0
32,0,539,0
33,0,502,0
34,0,511,0
35,0,1919,0
36,0,1819,0
37,0,1877,0
38,0,1820,0
39,0,1555,0
40,0,1867,0
41,0,1858,0
42,0,553,0
43,0,502,0
44,0,483,0
45,0,543,0
46,0,184,0
47,0,512,0
48,0,512,0
49,0,499,0
50,0,2733,0
51,0,3125,0
52,0,3125,0
53,0,3125,0
54,0,3125,0
55,0,3125,0
56,0,3125,0
57,0,3125,0
58,0,1258,0
59,0,142,0
60,0,503,0
61,0,525,0
62,0,483,0
63,0,553,0
64,0,483,0
65,0,527,0
66,0,1527,0
67,0,1833,0
68,0,1831,0
69,0,1864,0
70,0,1839,0
71,0,1850,0
72,0,1872,0
73,0,592,0
74,0,528,0
75,0,536,0
76,0,500,0
77,0,467,0
78,0,500,0
79,0,537,0
80,0,578,0
81,0,2746,0
82,0,3125,0
83,0,3125,0
84,0,3125,0
85,0,3125,0
86,0,3125,0
87,0,3125,0
88,0,3125,0
89,0,904,0
90,0,531,0
91,0,578,0
92,0,513,0
93,0,163,0
94,0,513,0
95,0,538,0
96,0,577,0
97,0,1514,0
98,0,1832,0
99,0,1845,0
100,0,1845,0
101,0,1850,0
102,0,1858,0
103,0,1884,0
104,0,529,0
105,0,545,0
106,0,525,0
107,0,486,0
108,0,538,0
109,0,513,0
110,0,528,0
111,0,498,0
112,0,2723,0
113,0,3125,0
114,0,3125,0
115,0,3125,0
116,0,3125,0
117,0,3125,0
118,0,3125,0
119,0,3125,0
120,0,1005,0
121,0,526,0
122,0,538,0
123,0,329,0
124,0,503,0
125,0,538,0
126,0,538,0
127,0,566,0
128,0,1544,0
129,0,1872,0
130,0,1859,0
131,0,1852,0
132,0,1870,0
133,0,1820,0
134,0,1121,0
135,0,578,0
136,0,500,0
137,0,539,0
138,0,152,0
139,0,564,0
140,0,552,0
141,0,500,0
142,0,589,0
143,0,2986,0
144,0,3125,0
145,0,3125,0
146,0,3125,0
147,0,3125,0
148,0,3125,0
149,0,3125,0
150,0,3125,0
151,0,759,0
152,0,524,0
153,0,513,0
154,0,550,0
155,0,592,0
156,0,542,0
157,0,525,0
158,0,511,0
159,0,1668,0
160,0,1881,0
161,0,1827,0
162,0,1838,0
163,0,1369,0
164,0,1833,0
165,0,1670,0
166,0,525,0
167,0,552,0
168,0,511,0
169,0,513,0
170,0,526,0
171,0,143,0
172,0,221,0
173,0,704,0
174,0,3125,0
175,0,3125,0
176,0,3125,0
177,0,3125,0
178,0,3125,0
179,0,3125,0
180,0,3125,0
181,0,3125,0
182,0,643,0
183,0,457,0
184,0,551,0
185,0,618,0
186,0,479,0
187,0,525,0
188,0,540,0
189,0,587,0
190,0,1792,0
191,0,1826,0
192,0,1838,0
193,0,1838,0
194,0,1845,0
195,0,1863,0
196,0,1609,0
197,0,499,0
198,0,485,0
199,0,539,0
200,0,551,0
201,0,513,0
202,0,498,0
203,0,537,0
204,0,649,0
205,0,3125,0
206,0,3125,0
207,0,3125,0
208,0,3125,0
209,0,3125,0
210,0,3125,0
211,0,3125,0
212,0,3125,0
213,0,543,0
214,0,493,0
215,0,539,0
216,0,499,0
217,0,526,0
218,0,512,0
219,0,513,0
220,0,551,0
221,0,1305,0
222,0,1852,0
223,0,1812,0
224,0,1845,0
225,0,1824,0
226,0,1846,0
227,0,747,0
228,0,589,0
229,0,528,0
230,0,578,0
231,0,513,0
232,0,498,0
233,0,499,0
234,0,498,0
235,0,785,0
236,0,3125,0
