Iteration,LCD,CPU,WIFI
0,0,969,0
1,0,1313,0
2,0,1622,0
3,0,571,0
4,0,1063,0
5,0,2240,0
6,0,662,0
7,0,508,0
8,0,553,0
9,0,486,0
10,0,501,0
11,0,157,0
12,0,507,0
13,0,508,0
14,0,560,0
15,0,551,0
16,0,508,0
17,0,487,0
18,0,778,0
19,0,4702,0
20,0,4702,0
21,0,4702,0
22,0,4688,0
23,0,4702,0
24,0,4688,0
25,0,4702,0
26,0,4702,0
27,0,519,0
28,0,507,0
29,0,476,0
30,0,229,0
31,0,520,0
32,0,486,0
33,0,209,0
34,0,189,0
35,0,1996,0
36,0,2329,0
37,0,1932,0
38,0,1567,0
39,0,1635,0
40,0,1653,0
41,0,1431,0
42,0,145,0
43,0,166,0
44,0,167,0
45,0,571,0
46,0,166,0
47,0,177,0
48,0,178,0
49,0,970,0
50,0,4702,0
51,0,4688,0
52,0,4702,0
53,0,4702,0
54,0,4702,0
55,0,4702,0
56,0,4702,0
57,0,4500,0
58,0,155,0
59,0,507,0
60,0,571,0
61,0,575,0
62,0,497,0
63,0,488,0
64,0,155,0
65,0,517,0
66,0,1331,0
67,0,1953,0
68,0,1907,0
69,0,1209,0
70,0,1597,0
71,0,2017,0
72,0,655,0
73,0,507,0
74,0,558,0
75,0,530,0
76,0,517,0
77,0,486,0
78,0,528,0
79,0,542,0
80,0,1391,0
81,0,4702,0
82,0,4674,0
83,0,4702,0
84,0,4702,0
85,0,4702,0
86,0,4688,0
87,0,4702,0
88,0,4078,0
89,0,176,0
90,0,192,0
91,0,189,0
92,0,508,0
93,0,531,0
94,0,497,0
95,0,560,0
96,0,773,0
97,0,1937,0
98,0,1962,0
99,0,1711,0
100,0,1927,0
101,0,1617,0
102,0,1936,0
103,0,784,0
104,0,165,0
105,0,516,0
106,0,508,0
107,0,487,0
108,0,529,0
109,0,562,0
110,0,586,0
111,0,1976,0
112,0,4702,0
113,0,4702,0
114,0,4702,0
115,0,4702,0
116,0,4702,0
117,0,4702,0
118,0,4702,0
119,0,3509,0
120,0,197,0
121,0,562,0
122,0,498,0
123,0,549,0
124,0,489,0
125,0,507,0
126,0,478,0
